"Composite.Variable","Adaptive.Mgmt","Year","Site","alfalfa","alsike clover","antelope horns","birdsfoot trefoil","black medick","black-eyed susan","blackberry","blue-eyed grass","broadleaf plantain","buttercup","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","common milkweed","common mullein","compass plant","corn speedwell","crown vetch","culver's root","cup plant","daisy fleabane","dandelion","deptford pink","dogbane","downy cinquefoil","field milkwort","field mint","field pennycress","fieldcress","flowering spurge","fringed loosestrife","germander","golden alexander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hawkweed","hoary vervain","horsenettle","illinois bundleflower","ironweed","lady's thumb","lead plant","morning glory","moth mullein","multiflora rose","musk thistle","new england aster","old field goldenrod","osier dogwood","oxeye daisy","oxeye sunflower","pale purple coneflower","pale spike lobelia","partridge pea","prairie blazing star","prairie cinquefoil","prairie coreopsis","prairie petunia","prairie ragwort","prairie rose","prairie turnip","pretty bedstraw","purple coneflower","purple milkweed","purple prairie clover","pussy toes","queen anne's lace","rapeseed","rattlesnake master","red clover","ribwort plantain","rosinweed","round-headed bush clover","sawtooth sunflower","self-heal","shepherd's purse","showy goldenrod","showy tick trefoil","slender mountain mint","spiderwort","spotted st. john's wort","st. john's wort","sticky bedstraw","strawberry","sulfur cinquefoil","swamp agrimony","swamp milkweed","swamp vervain","tall coreopsis","tall green milkweed","thimbleweed","venus' looking glass","virginia bunchflower","white campion","white clover","white prairie clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild garlic","wild parsnip","wild quinine","winged loosestrife","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"14-BO","BO","14","KLT",0,0,0,4377,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0,0,0,0,0,0,0,0,0,75,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,17,0,0,0,0,0,0,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,1,223,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,130,0,4,0,50,6,0,2,5049,22,0.663600924985339
"14-BO","BO","14","PAW",0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,45,0,12,0,574,0,0,13,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,123,17,1,31,0,0,95,10,0,36,0,0,86,0,0,0,1,0,13,25,0,9,0,0,0,0,0,85,918,16,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,16,0,812,2,1,0,0,74,0,0,3083,34,2.07139612544172
"14-BO","BO","14","RIN",0,0,0,0,0,22,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,1,0,7,0,0,0,0,0,0,0,26,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,478,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,25,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,838,20,1.51410253744696
"14-GB","GB","14","GIL",0,1,0,1467,262,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,10,0,113,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,10,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,1,0,0,0,61,0,2,0,0,0,10,22,3192,22,1.49051838862639
"14-GB","GB","14","LTR",0,1452,0,99,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,2,0,0,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,8,0,0,0,0,0,0,1,0,0,3387,19,1.23709837277136
"14-GB","GB","14","PYW",0,3,0,7613,143,0,0,1,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,130,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,46,0,0,4,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,6,0,1,0,0,0,0,0,0,2,0,21,8832,23,0.652821532422424
"14-GB","GB","14","STE",0,10,0,2050,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,328,0,0,0,0,9,0,0,0,1,0,0,0,105,0,0,0,0,0,0,1,0,0,0,0,214,0,1,0,0,0,0,0,0,0,0,3,0,35,3135,20,1.25368920971342
"14-H+","H+","14","BSH",0,1,0,382,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,25,0,0,0,0,89,680,16,1.5777251363659
"14-H+","H+","14","DUN",0,0,0,0,0,20,0,0,7,17,0,0,0,0,197,0,4,0,0,0,0,0,0,50,0,17,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1226,0,5,5210,0,8,0,0,30,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,129,0,0,0,0,1,0,0,0,0,0,0,0,0,7444,22,1.05439036597091
"14-H+","H+","14","RC2",17,17,0,3116,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,27,0,0,4349,13,0.883094034052232
"14-PBG","PBG","14","KLN",0,214,0,742,9,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,1,91,0,0,16,0,0,0,0,0,0,0,1,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,242,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,209,0,0,0,0,1,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5686,0,4,0,0,0,4,0,0,0,0,81,0,37,7600,25,1.08626863829968
"14-PBG","PBG","14","PYN",0,2979,0,12009,1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,204,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,39,0,0,5,0,0,0,0,24,0,0,0,0,0,0,0,0,27,0,0,2650,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,799,0,51,0,0,0,0,0,0,0,0,1,0,220,20682,19,1.33458085976208
"14-PBG","PBG","14","PYS",0,4,0,4776,58,1,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,3,1,0,2,0,30,0,0,0,0,0,0,0,0,6,0,0,1022,1,0,0,0,1,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,1,0,2,0,0,0,0,0,0,5,0,14,6250,25,0.83343936980981
"14-PBG","PBG","14","RIS",0,4,0,27074,106,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,56,0,15,0,0,0,0,0,0,8,0,0,180,0,0,0,0,1,0,2,0,490,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,119,0,7,0,5,0,29,0,0,0,0,22,0,10,28260,27,0.260787385052664
"15-BO","BO","15","KLT",0,0,0,505,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,2,0,0,0,0,0,0,18,0,3,0,1,0,0,0,0,1,0,0,0,35,323,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,1,13,0,2408,18,1.50338308221204
"15-BO","BO","15","PAW",0,0,0,0,0,83,3,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,71,0,0,2,0,4,0,24,0,0,0,0,0,0,0,0,0,16,4,58,4,9,245,2,0,18,0,0,53,0,25,0,6,0,44,0,0,0,0,196,0,0,0,180,779,42,0,2,41,0,0,58,0,0,0,0,0,0,2,0,0,6,0,0,12,0,1153,0,0,1,0,23,0,3,3491,36,2.24792922927374
"15-BO","BO","15","RIN",0,0,0,0,0,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,43,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,83,134,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,638,17,1.91712921155465
"15-GB","GB","15","GIL",0,0,0,936,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,167,1,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,29,23,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,26,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,0,0,1,0,0,169,0,0,0,0,0,90,0,3172,18,1.37842938007441
"15-GB","GB","15","LTR",0,11,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,488,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,205,23,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,42,0,1,0,0,0,0,0,0,180,0,0,76,0,0,0,0,7,0,0,0,40,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2628,0,0,12,10,4,5,0,0,0,0,60,116,11,4025,25,1.40890291033258
"15-GB","GB","15","PYW",0,0,0,6177,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,3,0,0,45,20,0,1,0,69,0,0,0,0,0,0,0,0,169,0,0,877,0,0,0,0,5,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,8080,18,0.887143680798719
"15-GB","GB","15","STE",0,0,0,1736,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,8,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,1,0,0,0,0,0,0,28,0,0,243,0,0,0,0,106,0,0,0,7,0,0,0,0,0,11,0,0,2,0,3,0,0,0,0,398,0,0,0,0,0,15,0,0,0,0,2,0,6,3219,23,1.4811161122821
"15-H+","H+","15","BSH",26,17,0,49,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,15,1,2307,15,1.49241869719365
"15-H+","H+","15","DUN",0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,37,0,0,0,0,0,0,0,533,0,51,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,10885,0,0,0,29,0,0,0,0,0,145,0,0,0,0,2,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,10,0,0,11937,16,0.45016847586044
"15-H+","H+","15","RC2",10,15,0,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,56,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,147,0,0,4,0,0,0,0,0,0,0,0,65,0,4523,14,0.759749726950943
"15-PBG","PBG","15","KLN",0,122,0,888,5,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,12,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,455,0,0,206,0,0,0,0,13,0,0,0,234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3977,0,15,0,0,0,0,0,0,0,0,24,0,0,6768,19,1.47676516201001
"15-PBG","PBG","15","PYN",0,0,0,9367,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,80,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,0,403,0,0,4307,0,0,0,0,42,0,0,0,4,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,3117,0,0,2,0,0,0,0,0,0,0,0,0,152,17554,20,1.19068037726893
"15-PBG","PBG","15","PYS",0,0,0,10002,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,67,0,0,0,0,0,0,0,21,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,187,0,0,24,6,0,0,0,47,0,0,0,0,0,0,0,0,92,0,0,5602,0,0,0,0,104,0,0,0,588,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,173,0,5,0,3,0,3,0,0,0,0,7,1,20,17149,26,1.08486384685609
"15-PBG","PBG","15","RIS",0,0,0,5460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1,0,0,12,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,61,0,6,0,0,0,0,0,3,63,0,0,263,0,0,0,0,48,0,20,2,170,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,16,0,0,0,5,0,654,0,0,0,0,21,0,30,7039,25,0.993515846727868
"16-BO","BO","16","KLT",0,0,0,2123,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2,10,0,0,0,0,0,0,0,0,0,562,0,0,0,0,2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,15,13,0,0,0,0,0,0,0,22,0,12,0,86,0,0,0,3,0,0,0,0,73,4735,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,7,0,2,8485,23,1.3440773301122
"16-BO","BO","16","PAW",0,0,0,59,0,389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,16,0,0,0,0,0,0,0,0,50,0,193,0,338,0,0,1230,0,0,2,0,37,0,0,6,0,0,0,0,0,0,0,45,6,0,0,25,3,1,1,0,9,0,0,7,0,52,0,9,0,125,0,0,20,0,0,5,0,0,20,8020,0,0,0,1100,0,0,162,0,1,7,0,0,0,29,0,0,43,0,0,2,0,1710,0,0,6,0,14,0,0,13767,37,1.56242831805642
"16-BO","BO","16","RIN",0,0,0,0,0,140,79,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,295,0,7,0,0,0,0,0,0,0,0,0,0,155,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,230,11,0,23,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,741,2,0,38,0,0,0,0,0,61,0,0,0,0,0,0,0,0,18,0,0,2,6,0,0,0,0,8,0,18,1875,24,2.01051008058477
